"recipient_iso","year","emergency_commitments"
"BWA",2008,0.316944
"BWA",2009,1.279707
"BWA",2010,0.25931
"BWA",2011,3.299062
"BWA",2012,0.527859
"BWA",2013,0.162426
"BWA",2014,0.034933
"BWA",2015,0.450959
"BWA",2016,2.767764
"BWA",2017,2.204148
"BWA",2018,1.674985
"BWA",2019,1.305622
"BWA",2020,0.353605
"BWA",2021,0.826063
"BWA",2022,0.357234
"BWA",2023,0.68698
"BWA",2024,0.70059
"CAF",2008,73.015015
"CAF",2009,44.874655
"CAF",2010,59.243239
"CAF",2011,66.743072
"CAF",2012,67.32567
"CAF",2013,156.050654
"CAF",2014,364.151612
"CAF",2015,394.324131
"CAF",2016,279.032966
"CAF",2017,261.88585
"CAF",2018,367.144455
"CAF",2019,365.438531
"CAF",2020,307.479431
"CAF",2021,274.641801
"CAF",2022,349.584535
"CAF",2023,238.205654
"CAF",2024,173.234153
"CHL",2008,0.464395
"CHL",2009,1.254034
"CHL",2010,41.774535
"CHL",2011,1.937346
"CHL",2012,3.480459
"CHL",2013,0.797668
"CHL",2014,1.311147
"CHL",2015,2.806094
"CHL",2016,2.330439
"CHL",2017,3.355398
"CHL",2018,0
"CHL",2019,0
"CHL",2020,0
"CHL",2021,0
"CHL",2022,0
"CHL",2023,0
"CHL",2024,0
"CHN",2008,109.8141
"CHN",2009,491.832167
"CHN",2010,33.1008
"CHN",2011,9.73177900000001
"CHN",2012,3.741541
"CHN",2013,43.916908
"CHN",2014,85.296191
"CHN",2015,5.640761
"CHN",2016,3.251147
"CHN",2017,6.702321
"CHN",2018,4.226351
"CHN",2019,112.564371
"CHN",2020,7.629124
"CHN",2021,1048.707152
"CHN",2022,107.859004
"CHN",2023,125.615482
"CHN",2024,16.697763
"CIV",2008,16.756844
"CIV",2009,43.588808
"CIV",2010,18.759577
"CIV",2011,299.515419
"CIV",2012,201.532614
"CIV",2013,51.807309
"CIV",2014,17.124583
"CIV",2015,14.385914
"CIV",2016,92.845483
"CIV",2017,9.710569
"CIV",2018,25.888851
"CIV",2019,10.793844
"CIV",2020,9.935897
"CIV",2021,19.216511
"CIV",2022,183.118521
"CIV",2023,300.456103
"CIV",2024,130.396369
"CMR",2008,20.327973
"CMR",2009,15.326427
"CMR",2010,16.557426
"CMR",2011,11.107596
"CMR",2012,11.655328
"CMR",2013,10.209305
"CMR",2014,50.5392
"CMR",2015,201.447411
"CMR",2016,106.49582
"CMR",2017,99.438301
"CMR",2018,122.630125
"CMR",2019,155.316854
"CMR",2020,162.654595
"CMR",2021,205.22849
"CMR",2022,465.427736
"CMR",2023,294.878123
"CMR",2024,104.361604
"COD",2008,499.471083
"COD",2009,697.930666
"COD",2010,484.895512
"COD",2011,446.504931
"COD",2012,461.269835
"COD",2013,545.038282
"COD",2014,474.619615
"COD",2015,346.60809
"COD",2016,416.695841
"COD",2017,713.3149
"COD",2018,736.958835
"COD",2019,1232.87178
"COD",2020,981.154318
"COD",2021,1076.567562
"COD",2022,1217.300873
"COD",2023,1150.530285
"COD",2024,950.587384
"COG",2008,2.463837
"COG",2009,3.284911
